country,direct_gap_pct_point,direct_gap_type_flag,conditional_gap_pct_point,conditional_gap_type_flag,cognition_interest_barrier_flag,image_barrier_flag,economic_physical_access_barrier_flag,institutional_language_barrier_flag,religious_cultural_env_barrier_flag,small_sample_barrier_note,key_observed_pattern,interpretation_caution
UAE,45.24,N,10.73,N,N,N,N,Y,Y,N,Type F(제도/언어 장벽: 비자/출입국 절차); Type G(종교/문화환경 장벽: 불편한 종교 환경),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
대만,32.54,N,5.05,N,N,Y,N,Y,N,N,Type D(이미지 장벽: 부정적인 한국 이미지); Type F(제도/언어 장벽: 불편한 언어소통),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
독일,46.01,N,14.81,Y,Y,N,Y,N,N,N,"Type B(Conditional Gap 상위3분위); Type C(인지/관심 장벽: 낮은 한국 인지도); Type E(경제/물리적 접근성 장벽: 여행경비/물가, 장거리 비행)","Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
러시아,62.66,Y,12.61,Y,Y,N,Y,N,N,N,"Type A(Direct Gap 상위3분위); Type B(Conditional Gap 상위3분위); Type C(인지/관심 장벽: 낮은 한국 인지도); Type E(경제/물리적 접근성 장벽: 여행경비/물가, 장거리 비행)","Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
말레이시아,45.25,N,4.26,N,N,N,Y,N,Y,N,Type E(경제/물리적 접근성 장벽: 여행경비/물가); Type G(종교/문화환경 장벽: 불편한 종교 환경),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
멕시코,49.15,Y,6.61,N,N,N,N,N,N,N,Type A(Direct Gap 상위3분위),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
미국,53.59,Y,12.55,Y,Y,Y,Y,Y,N,N,Type A(Direct Gap 상위3분위); Type B(Conditional Gap 상위3분위); Type C(인지/관심 장벽: 한류 관심 부재); Type D(이미지 장벽: 부정적인 한국 이미지); Type E(경제/물리적 접근성 장벽: 장거리 비행); Type F(제도/언어 장벽: 불편한 언어소통),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
베트남,35.36,N,5.46,N,가능성(소표본 주의),N,가능성(소표본 주의),가능성(소표본 주의),가능성(소표본 주의),Y,"Type C(인지/관심 장벽: 한류 관심 부재); Type E(경제/물리적 접근성 장벽: 여행경비/물가, 장거리 비행); Type F(제도/언어 장벽: 비자/출입국 절차); Type G(종교/문화환경 장벽: 불편한 종교 환경)","Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다. 이 국가는 B13-1A 방문 비의향자 표본이 30명 미만(소표본)이므로, 장벽 기반 유형 중 인지관심, 경제물리적접근성, 제도언어, 종교문화환경 판정은 국가 간 비교의 강한 근거로 사용하지 않는다."
브라질,47.54,N,12.95,Y,Y,N,N,Y,N,N,Type B(Conditional Gap 상위3분위); Type C(인지/관심 장벽: 한류 관심 부재); Type F(제도/언어 장벽: 불편한 언어소통),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
사우디아라비아,45.1,N,12.38,N,Y,N,N,Y,Y,N,Type C(인지/관심 장벽: 낮은 한국 인지도); Type F(제도/언어 장벽: 비자/출입국 절차); Type G(종교/문화환경 장벽: 불편한 종교 환경),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
싱가포르,41.27,N,6.72,N,N,N,N,Y,N,N,Type F(제도/언어 장벽: 불편한 언어소통),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
영국,41.32,N,13.5,Y,Y,N,Y,N,N,N,Type B(Conditional Gap 상위3분위); Type C(인지/관심 장벽: 낮은 한국 인지도); Type E(경제/물리적 접근성 장벽: 장거리 비행),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
인도,48.32,Y,6.84,N,N,N,N,Y,Y,N,Type A(Direct Gap 상위3분위); Type F(제도/언어 장벽: 비자/출입국 절차); Type G(종교/문화환경 장벽: 불편한 종교 환경),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
인도네시아,45.35,N,5.49,N,N,가능성(소표본 주의),N,가능성(소표본 주의),가능성(소표본 주의),Y,Type D(이미지 장벽: 부정적인 한국 이미지); Type F(제도/언어 장벽: 불편한 언어소통); Type G(종교/문화환경 장벽: 불편한 종교 환경),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다. 이 국가는 B13-1A 방문 비의향자 표본이 30명 미만(소표본)이므로, 장벽 기반 유형 중 이미지, 제도언어, 종교문화환경 판정은 국가 간 비교의 강한 근거로 사용하지 않는다."
일본,39.77,N,12.12,N,Y,Y,N,N,N,N,Type C(인지/관심 장벽: 한류 관심 부재); Type D(이미지 장벽: 부정적인 한국 이미지),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
중국,43.7,N,3.5,N,Y,Y,N,N,N,N,Type C(인지/관심 장벽: 한류 관심 부재); Type D(이미지 장벽: 부정적인 한국 이미지),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
카자흐스탄,66.06,Y,8.35,N,Y,N,Y,N,N,N,Type A(Direct Gap 상위3분위); Type C(인지/관심 장벽: 낮은 한국 인지도); Type E(경제/물리적 접근성 장벽: 여행경비/물가),"Direct Gap(전체 응답자 BASE)과 Conditional Gap(문화경험자 하위집합 BASE), 장벽 비율(방문 비의향자 하위집합 BASE)은 서로 다른 BASE에서 계산된 값이므로 하나의 개인 수준 지표로 합산하거나 인과관계로 해석하지 않는다."
