country,comparability_class,observation_type,detail,confidence
중국,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 하위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 중위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
중국,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '부정적인 한국 관련 이미지', '매력적인 문화/역사 유적지 부족'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 29.2%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
일본,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['부정적인 한국 관련 이미지', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '불안한 신변(치안, 방역 등)'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 30.4%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
대만,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 하위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 중위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
대만,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['불편한 언어소통', '부정적인 한국 관련 이미지', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 26.8%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
미국,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 중위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 하위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
미국,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['불편한 언어소통', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '여행목적지로서 낮은 한국 인지도'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 28.2%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
싱가포르,conditional,Layer2->Layer3 상대적 구간 하락 (잠재방한객 문화경험자 하위집합 내부),"문화경험자 중 호감도 긍정률(E4-1)은 상위3분위, 같은 문화경험자 중 방문의향 긍정률(E4-3)은 중위3분위로 구간이 하락함 (두 지표 모두 '문화경험자'라는 같은 하위집합을 BASE로 공유하므로 E1A-1/B5B-1 쌍만큼은 아니지만 어느 정도 비교 근거가 있음)","병목 가능성이 관찰됨 (conditional, 같은 하위집단 내부 비교이나 표본 구성 차이 가능성 있어 발견으로 단정 불가)"
싱가포르,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 중위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 상위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
싱가포르,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['불편한 언어소통', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '한국여행 관련 항공권 및 여행상품 특가/프로모션 부족'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 21.6%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
인도네시아,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 중위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 상위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
