survey,table_or_variable,concept,base,scale_unit,country_level_comparable,relationship_to_potential_tourist_indicator,match_confidence
한류실태조사,표1-16(호감도),한류 경험자가 평가한 한국 문화콘텐츠 카테고리별(드라마/예능/영화/음악/애니메이션/출판물/웹툰/게임/패션/뷰티/음식/한국어) 및 전반적 만족도 호감 점수,국가 전체 한류 경험자(전원 경험자로 스크리닝된 패널). 단 카테고리별 세부 문항은 해당 콘텐츠를 인지/이용한다고 답한 응답자만 평가하므로 항목마다 base 사례수가 다름(예: 중국 항목별 478~2100),5점 척도 평균(1~5점),가능(30개국 모두 존재),"직접 대응표 없음. 잠재방한객조사 E3-1~13(분야별 이용빈도)과 콘텐츠 카테고리 축은 유사하게 겹치나, 측정 대상 자체가 다름(호감도 점수 vs 이용빈도). 카테고리를 나란히 놓는 정성적 참고는 가능하나 값을 직접 결합할 수는 없음.",REVIEW_REQUIRED
한류실태조사,표1-33(관심도),"본인/자국민 한류 관심도의 1년 전 대비·1년 후 예상 변화, 본인 소비지출 의향 변화","국가 전체 한류 경험자(사례수 국가별 균일, 예: 중국 2100)",5점 척도 평균(변화 방향 척도),가능(30개국 모두 존재),"'절대적 관심 수준'이 아니라 '변화 방향'을 묻는 문항이라, 잠재방한객조사에는 개념적으로 대응하는 시계열 변화 문항이 없음(C4/C5는 관심의 계기·결정요인이지 변화량이 아님). 직접 대응 지표 없음.",NO_MATCH
한류실태조사,표1-35(인식변화),한국 문화콘텐츠 경험이 한국에 대한 인식에 미치는 영향(매우부정~매우긍정 5점 분포 및 평균),"국가 전체 한류 경험자(사례수 국가별 균일, 예: 중국 2100)",5점 척도 분포(%) + 평균(1~5점),가능(30개국 모두 존재),"질문 설계('경험 -> 인식/호감 변화 측정')가 잠재방한객조사의 E4-1(문화경험->한국 호감도 영향, 5점 매우부정~매우긍정) 및 E2(문화경험->한국 인지 영향)와 사실상 동일한 구조. 4개 표 중 개념적으로 가장 근접한 대응쌍이나, '인식' 전반(1-35) vs '호감도' 단독(E4-1)이라는 대상 범위 차이는 남아있음.",STRONG_CANDIDATE_REVIEW_REQUIRED
한류실태조사,표1-41(관광경험),한국 관광(여행)에 대한 구매(=방문) 경험률(%) 및 평균 방문 횟수,"국가 전체 한류 경험자(사례수 국가별 균일, 예: 중국 2100)",경험률(%) + 평균 횟수(회),가능(30개국 모두 존재),"질문 문구상 '한국 관광'이 '고관여 제품/서비스 구매 경험' 리스트 안의 한 카테고리 항목으로 포함되어 있을 가능성이 기존 indicator_page_map.csv 메모(방한_경험_의향 행)에서 제기됨(전용 여행 모듈이 아닐 수 있음, 미검증). 개념상 잠재방한객조사 A2AA-1-1(전 생애 한국 방문 경험 여부, 전용 문항)과 유사하나, 측정 방식(전용 문항 vs 구매목록 내 항목)이 다를 수 있어 결합 전 원본 문항 확인 필요.",REVIEW_REQUIRED
잠재방한객조사(일반외국인),B5A-1 / B5B-1(향후 3년 내 한국 방문 의향),방한 태도(의향) 자체를 묻는 핵심 종속변수,B5A-1: 해외여행의향자(BASE:B3.④~⑤) / B5B-1: 전체 응답자,5점 척도 분포+Top2 또는 4분류(방문의향있음/미정/없음/해외여행의향없음),가능(23개국 공통국가 모두 존재),한류실태조사에는 '방문 경험/의향을 직접 묻는 표'가 확인되지 않음(indicator_page_map.csv 기존 조사 메모: 방한_경험_의향 NOT_FOUND). 잠재방한객조사에만 존재하는 고유 지표.,POTENTIAL_ONLY
잠재방한객조사(일반외국인),E1A-1(한국문화 경험 여부),한국 문화콘텐츠를 하나라도 경험했는지 여부(경험/비경험 이분),전체 응답자(스크리닝 없는 일반 모집단. 전체 78.9%만 경험자),경험/비경험 비율(%),가능(23개국 공통국가 모두 존재),"한류실태조사는 모집단 자체가 이미 100% '한류 경험자'로 스크리닝되어 있어(일러두기 2쪽), '경험 여부를 나누는' 지표가 원천적으로 존재하지 않음. 오히려 개념적으로는 '한류실태조사의 국가별 전체 모집단' ≈ '잠재방한객조사에서 E1A-1=경험(YES)로 필터링된 서브그룹'에 가까움 — 모집단 정의 차이를 반드시 주석에 남겨야 함.",BASE_MISMATCH
잠재방한객조사(일반외국인),E4-1(문화경험->한국 호감도 영향),한국 문화콘텐츠 경험이 한국 호감도에 미친 영향,한국문화 경험자(BASE:E1.①~⑬),5점 척도 분포(매우부정~매우긍정)+평균,가능(23개국 공통국가 모두 존재),"위 표1-35(인식변화)와 질문 설계가 가장 유사한 대응 후보. 단 BASE 모집단 정의가 다름(한류실태조사=스크리닝된 한류경험자 패널, 잠재방한객조사 E4-1=일반모집단 중 사후 필터링된 문화경험자) - 값 자체를 직접 비교하려면 두 모집단 정의 차이를 명시해야 함.",STRONG_CANDIDATE_REVIEW_REQUIRED
잠재방한객조사(일반외국인),E4-3(문화경험->한국 (재)방문의향 영향),한국 문화콘텐츠 경험이 한국 방문/재방문 의향에 미친 영향,한국문화 경험자(BASE:E1.①~⑬),5점 척도 분포(매우부정~매우긍정)+평균,가능(23개국 공통국가 모두 존재),"한류실태조사에는 '방문의향에 미치는 영향'을 직접 묻는 문항이 확인되지 않음(방한_경험_의향 NOT_FOUND). 직접 대응 지표 없음, 잠재방한객조사만의 고유 지표.",POTENTIAL_ONLY
잠재방한객조사(일반외국인),B13-1A / B13-2A(한국 방문 비의향 이유),방한을 막는 요인/장벽(언어소통/한류 관심 부재/한국 인지도/이미지/여행경비/비자 등),한국 방문 비의향자(BASE:B5.1)한국①~②),다중응답 비율(1+2+3순위/1순위)(%),가능(23개국 공통국가 모두 존재),"한류실태조사에는 '방한을 막는 장벽(비자/거리/비용 등)'을 직접 묻는 표가 확인되지 않음(indicator_page_map.csv 방한_장벽 행에서 이미 NOT_FOUND로 명시). 표1-17/1-18(호감 저해요인)은 '콘텐츠 자체에 대한 비호감 이유(번역 미흡, 기기사양 등)'이며 '방한 장벽'과는 명백히 다른 개념이므로 절대 혼동 금지. 직접 대응 지표 없음.",NO_MATCH
잠재방한객조사(일반외국인),E3-1~E3-13(한국문화 분야별 이용빈도),콘텐츠 카테고리별(대중가요/드라마/예능/영화/음식/뷰티/패션/웹툰/게임/애니메이션/문학/한국어/기타) 이용 빈도,해당 분야 경험자(BASE:E1.①~⑬ 각 항목별),빈도 분포(%)(1년1회~거의매일),가능(단 E3-13 '기타'는 6개국 표본 0으로 23개국 미충족),표1-16(호감도)과 콘텐츠 카테고리 축이 유사하게 겹침(드라마/예능/영화/음악(대중가요)/웹툰/게임/패션/뷰티/음식/한국어/애니메이션 대부분 일치). 다만 측정 대상이 '이용빈도' vs '호감 점수'로 다르므로 카테고리 단위 병렬 배치(참고용)는 가능해도 지표 결합은 부적절.,REVIEW_REQUIRED
방한의향자,C4(한국 여행 관심 계기),한국 여행에 관심을 갖게 된 계기(숏폼/음식/뉴스드라마등매체/지인추천/관광명소/인플루언서후기/전통문화/문화콘텐츠·연예인/국가브랜드홍보영상),"방한의향자 전체(BASE:B5.1)한국④~⑤, 방한의향자 조사 모집단 자체가 이 조건을 100% 충족)",다중응답 비율(1+2+3순위)(%),가능(23개국 공통국가 모두 존재),"한류실태조사 표1-4~1-7(콘텐츠 접촉경로/SNS·OTT 플랫폼)과 '정보/매체 경로'라는 점에서 표면적으로 유사해 보이나, 목적이 다름(콘텐츠 소비 경로 vs 여행 관심을 촉발한 계기). 이름이 비슷하다는 이유만으로 동일 지표로 판단하지 않음. 직접 대응 지표 없음.",NO_MATCH
방한의향자,C5(한국 여행 결정 요인),한국 여행을 최종 결정하게 만든 요인,방한의향자 전체(BASE:B5.1)한국④~⑤),다중응답 비율(1+2+3순위)(%),가능(23개국 공통국가 모두 존재),한류실태조사에 직접 대응하는 '여행 결정요인' 표가 확인되지 않음. 직접 대응 지표 없음.,NO_MATCH
