indicator,indicator_description,page,table_title,country_or_region,data_type,notes
구조_국가블록패턴,"문서는 [종합]+[30개국]=31개 블록으로 구성. 각 블록은 동일한 44개 표(1-1~1-44)를 반복. 블록폭 약 60페이지. 국가 순서: 종합,중국,일본,대만,태국,말레이시아,인도네시아,인도,베트남,카자흐스탄,필리핀,싱가포르,호주,미국,캐나다,멕시코,브라질,아르헨티나,칠레,영국,프랑스,이탈리아,스페인,독일,러시아,튀르키예,폴란드,UAE,사우디아라비아,남아프리카공화국,이집트",4-1866,(구조 메모, 특정 표 아님),전체(31블록),structure_note,"표 번호 형식은 [국가위치번호]-[표인덱스번호]. 예: 표4-2=대만의 표인덱스2, 표8-26=인도의 표인덱스26. 종합(국가위치1)은 페이지 4~64에 표인덱스 1~44가 전부 한 번씩 등장하므로, 이후 인덱스만 알면 '종합페이지+((국가위치-1)*약60)' 근사식으로 각 국가 페이지를 추정 가능(정밀 검증 필요, 아래 notes 참고)."
인지도,한국 문화콘텐츠/한류에 대한 인지 여부 (알고 있는지),44,[표 1-24] 인지하고 있는 한국 애니메이션,종합(전체),table,"콘텐츠 카테고리별 개별 인지도 표. 대만 버전은 표4-24(약 p.227 부근 추정, 미검증), 인도 버전은 표8-24(약 p.467 부근, 미검증)."
인지도,한국 문화콘텐츠/한류에 대한 인지 여부 (알고 있는지),47,[표 1-26] 인지하고 있는 한국 게임,종합(전체),table,"실측 확인된 페이지(462페이지에서 대만 버전 관측). 인도 버전은 실측: 표8-26=page467, N=948."
인지도,한국 문화콘텐츠/한류에 대한 인지 여부 (알고 있는지),NOT_FOUND,"'전반적 한류/한국 문화콘텐츠 인지도'를 묻는 단일 종합 표는 챕터 내(표1-1~1-44)에서 발견하지 못함",종합(전체),not_found,"인지도는 드라마/영화/음악/웹툰 등 다른 콘텐츠 카테고리별로도 존재할 가능성 있음(표인덱스 6,9,11,13,14 등 종합에서 비어있는 번호들에 위치할 가능성, 미검증 gap). 다음 단계에서 해당 gap 페이지 직접 확인 필요."
관심도,한국 문화콘텐츠에 대한 관심 정도 및 소비지출 의향,56,[표 1-33] 한국 문화콘텐츠 관심도 및 소비지출 의향,종합(전체),table,"강한 매치(직접적으로 '관심도' 단어 포함). 5점 척도로 추정됨(1-33 인접 표들과 동일 포맷)."
호감도,한국 문화콘텐츠에 대한 호감도 (5점 척도),21-22,[표 1-16] 한국 문화콘텐츠 호감도,종합(전체),table,"강한 매치. 실측 확인: N=13380(p21), N=12063(p22, 콘텐츠 카테고리별 분할로 2페이지 이상 이어짐)."
호감도,한국 문화콘텐츠 호감 요인/저해요인 (호감도의 원인 분해),23-36,[표 1-17] 호감요인 / [표 1-18] 호감 저해요인,종합(전체),table,"호감도의 원인(구성요인) 분석용 보조 표. 여러 콘텐츠 카테고리별로 반복되어 다수 페이지(23~36 부근)에 걸쳐 있음."
호감도,한국(국가)에 대한 전반적 인식/호감 (콘텐츠가 아닌 국가 이미지 차원),5; 187(대만 실측),[표 1-2] 한국에 대한 평소 인식 / [표 4-2] 동일(대만),종합(전체) / 대만(국가별 예시),table,"콘텐츠 호감도(표1-16)와 별개로, '한국이라는 국가'에 대한 우호도/호감 항목(예: 한국은 호감이 가는 국가다) 포함. 실측: 대만 페이지187, N=750."
이용_경험,한국 문화콘텐츠 이용의 용이성/이용 정도,6-7,[표 1-3] 한국 문화콘텐츠 이용 용이성,종합(전체),table,실측 확인.
이용_경험,한국 문화콘텐츠 접촉 경로 (SNS/OTT 등 이용 채널),8-16,[표 1-4]~[표 1-7] 문화콘텐츠 접촉경로/OTT·동영상 플랫폼,종합(전체),table,실측 확인. 여러 세부 표로 나뉨(플랫폼별/카테고리별).
이용_경험,한국 문화콘텐츠 소비시간/소비비중/지출액 (실제 이용량·지출 행동지표),20,[표 1-15] 한국 문화콘텐츠 소비시간/소비 비중/지출액,종합(전체),table,"실측 확인. 표24-15(독일)도 동일 인덱스로 실측 확인(page1400, N=367)."
이용_경험,콘텐츠와 한류의 연관성 인식 정도 (0~100점),52-53,[표 1-31] 한국 문화콘텐츠 한류 관련 정도,종합(전체),table,"'인지도'보다는 '한류 연관성 인식'에 가까운 보조 지표. 0~100점 척도."
방한_경험_의향,한국 방문 경험 또는 방한 의향을 직접 묻는 표,NOT_FOUND,(해당 표 없음 - 탐색한 표인덱스 1~44 범위 내 전무),전체,not_found,"이 보고서는 '한류 콘텐츠 소비' 중심 조사로, 별도의 '방한 경험/방문의향' 모듈이 확인되지 않음."
방한_경험_의향,한국 관광(여행) 서비스 구매/이용 의향 (방한 의향의 대체 proxy),63,[표 1-42] 한국산 제품 및 서비스 구매의향 - '한국 관광' 항목,종합(전체),table,"실측 확인(page63). '고관여 제품/서비스' 카테고리 중 하나로 '한국 관광'이 포함되어 5점 척도로 측정됨. 방한 의향의 근사 proxy로 사용 가능하나 '방문 경험/횟수/의향 시기' 등 세부 문항은 없음."
방한_경험_의향,한국 문화콘텐츠 소비가 한국 제품/서비스(관광 포함) 이용에 미치는 영향,64,[표 1-44] 한국 문화콘텐츠 소비의 한국 제품/서비스 이용 영향,종합(전체),table,"실측 확인(page64). 질문 문구에 '(관광 포함)'이 명시되어 있어 간접적 관광 관련 지표로 활용 가능."
방한_장벽,한국 방문을 방해하는 요인/장벽을 직접 묻는 표,NOT_FOUND,(해당 표 없음 - 탐색한 표인덱스 1~44 범위 내 전무),전체,not_found,"[표 1-18]/[표 1-19] '호감 저해요인'은 콘텐츠에 대한 비호감 이유(번역 미흡/기기사양 등)이며 '방한을 막는 장벽(비자/거리/비용 등)'과는 다른 개념. 방한 장벽 관련 표는 탐색 범위에서 확인되지 않음."
